City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Port Alfred,-33.5906,26.891,68.0,85,92,1.99,ZA,1612823137
Hermanus,-34.4187,19.2345,64.99,90,8,1.01,ZA,1612823140
Hīt,33.6416,42.8251,60.28,59,99,2.75,IQ,1612823141
Ushuaia,-54.8,-68.3,64.4,59,0,11.5,AR,1612822901
Busselton,-33.65,115.3333,55.0,92,93,1.99,AU,1612823145
Sørland,67.667,12.6934,35.04,85,100,11.27,NO,1612823147
Nago,26.5881,127.9761,57.2,72,20,10.36,JP,1612823148
Albany,42.6001,-73.9662,24.01,49,78,0.47,US,1612823150
Qaanaaq,77.484,-69.3632,20.32,80,100,6.67,GL,1612823151
Bredasdorp,-34.5322,20.0403,62.6,88,4,2.3,ZA,1612823152
Ribeira Grande,38.5167,-28.7,60.8,82,40,17.27,PT,1612823154
New Norfolk,-42.7826,147.0587,57.0,62,36,1.99,AU,1612823155
Bandarbeyla,9.4942,50.8122,75.45,69,51,18.43,SO,1612823156
Melfort,52.8667,-104.6177,-16.6,69,100,17.27,CA,1612823157
Talnakh,69.4865,88.3972,3.52,92,100,9.06,RU,1612823159
Chapais,49.7834,-74.8492,1.4,55,1,5.75,CA,1612823160
Fortuna,40.5982,-124.1573,53.01,87,1,12.66,US,1612823161
Hilo,19.7297,-155.09,82.4,47,20,3.44,US,1612822808
Mataura,-46.1927,168.8643,55.42,95,100,5.77,NZ,1612823164
Longyearbyen,78.2186,15.6401,14.0,52,0,10.36,SJ,1612823166
Borogontsy,62.6683,131.1683,-22.45,85,100,3.85,RU,1612823167
Mar del Plata,-38.0023,-57.5575,64.99,59,40,14.97,AR,1612823019
General Pico,-35.6566,-63.7568,82.72,29,95,8.68,AR,1612823169
Kapaa,22.0752,-159.319,77.0,60,75,14.97,US,1612823170
Tasiilaq,65.6145,-37.6368,23.0,54,90,11.5,GL,1612823172
Rikitea,-23.1203,-134.9692,77.58,69,22,4.32,PF,1612823173
Yol,32.1667,76.2,56.48,36,6,4.59,IN,1612823174
